Valuation ($B),Country,Industry,Investor 1,Investor 2,Investor 3,Investor 4,Days Since Joined
4.6,45,12,579,19,520,9,1792
4.6,45,10,227,610,520,9,1319
4.58,44,8,394,255,0,9,1233
4.53,25,6,14,307,93,9,1723
4.5,8,7,460,565,490,9,2933
4.5,45,4,534,212,125,9,1248
4.5,44,8,404,573,396,9,2115
4.58,8,9,105,256,428,9,2943
4.5,17,8,455,504,391,9,1990
4.5,19,6,130,449,499,9,1700
4.5,8,2,422,638,0,9,745
4.4,45,12,348,364,554,9,1948
4.4,8,2,53,297,428,9,1331
4.4,45,12,226,96,263,9,1737
4.3,45,4,329,470,581,9,1393
4.3,16,12,74,19,497,9,1059
4.2,45,14,410,102,551,9,1361
4.25,8,6,460,462,539,9,1876
4.2,45,12,329,330,220,9,2291
4.2,45,12,561,623,523,9,934
4.2,45,5,42,47,469,9,1142
4.15,6,6,459,0,0,9,1164
4.1,45,1,552,311,226,9,2264
4.11,2,8,493,600,566,9,1248
4.1,45,15,239,644,601,9,1248
4.0,45,6,371,505,124,9,3607
4.01,19,8,527,165,471,9,1227
4.0,37,13,208,0,0,9,3565
4.0,8,1,43,482,199,9,2480
4.0,44,8,483,245,0,9,2222
4.0,45,3,307,287,535,9,1921
4.0,45,10,371,541,0,9,2362
4.0,45,8,586,474,525,9,1774
4.0,45,12,273,573,98,9,1443
4.0,6,12,171,276,290,9,1316
4.0,45,12,459,90,543,9,1309
4.0,45,13,42,556,0,9,1299
4.0,21,12,14,307,85,9,1156
4.0,45,10,174,246,42,9,1353
4.0,45,5,246,356,307,9,2666
4.0,45,8,14,32,36,9,1298
4.0,45,6,483,417,0,9,1037
4.0,45,12,231,154,0,9,1339
4.0,45,9,74,218,469,9,2101
4.0,45,14,84,335,229,9,1473
4.0,45,13,371,440,131,9,2166
4.0,45,12,199,194,262,9,1179
4.0,45,12,14,517,611,9,1310
4.0,45,12,42,573,502,9,877
4.0,19,8,193,15,529,9,1308
4.0,45,4,246,307,354,9,828
3.92,8,10,124,141,610,9,2207
3.8,45,10,371,404,108,9,3789
3.8,45,6,240,84,143,9,1877
3.8,29,13,579,59,15,9,1407
3.8,45,15,246,640,604,9,2155
3.75,45,7,85,294,216,9,1141
3.75,45,6,115,267,544,9,1248
3.7,45,5,483,505,595,9,2257
3.7,45,5,383,255,148,9,1582
3.7,45,6,542,620,139,9,1422
3.7,45,10,427,499,484,9,1179
3.7,45,14,98,124,571,9,1114
3.7,45,12,78,307,381,9,1260
3.7,8,10,256,526,428,9,990
3.7,45,1,349,35,117,9,1309
3.7,45,6,579,49,598,9,1064
3.66,45,12,1,0,0,9,938
3.6,45,12,470,293,0,9,1246
3.6,45,6,377,451,560,9,1387
3.6,45,2,42,363,217,9,1393
3.6,45,7,373,380,448,9,1646
3.6,45,8,171,165,200,9,1177
3.52,17,10,177,0,0,9,2609
3.5,45,1,21,31,57,9,2515
3.5,45,12,202,505,273,9,1241
3.5,45,12,227,271,0,9,1064
3.5,16,6,184,12,181,9,1423
3.5,45,12,28,303,20,9,1394
3.5,45,8,574,121,0,9,1038
3.5,2,7,155,343,120,9,1150
3.5,45,12,336,509,461,9,1270
