Valuation ($B),Country,Industry,Investor 1,Investor 2,Investor 3,Investor 4,Days Since Joined
1.3,45,10,88,593,0,9,2446
1.3,19,11,77,371,551,3,730
1.3,45,14,539,0,0,9,1731
1.3,22,10,583,231,312,9,1623
1.3,45,10,254,405,494,9,1351
1.3,8,14,136,270,102,9,1330
1.3,8,13,368,112,289,9,1317
1.3,45,12,280,517,505,9,1095
1.3,28,8,306,456,283,9,1051
1.3,45,8,78,384,39,9,1051
1.3,45,15,468,234,229,9,1030
1.3,45,5,329,170,597,9,1022
1.3,45,8,325,533,514,9,944
1.3,38,16,331,333,181,9,946
1.3,45,8,320,615,0,9,947
1.3,45,12,586,238,0,9,931
1.3,45,8,277,246,315,9,931
1.3,45,15,131,368,73,9,926
1.3,8,0,537,462,207,9,974
1.3,19,8,280,63,330,9,892
1.3,1,12,27,307,273,9,883
1.3,45,12,280,505,513,9,876
1.3,45,12,112,305,604,9,926
1.3,45,10,226,118,347,9,842
1.3,45,15,176,548,197,9,1067
1.3,22,15,78,307,412,9,822
1.28,45,12,203,576,0,9,2333
1.28,44,14,355,382,0,9,2009
1.28,8,8,268,242,115,9,1179
1.27,8,12,158,286,305,9,2321
1.26,8,9,517,599,206,9,866
1.26,8,9,268,633,420,9,884
1.25,45,4,62,487,464,9,1338
1.25,8,12,460,111,539,9,2449
1.25,44,8,404,274,401,9,1072
1.25,45,12,42,452,545,9,1045
1.25,45,12,293,545,32,9,1015
1.25,45,4,169,223,5,9,982
1.25,45,12,42,90,120,9,968
1.25,21,12,517,576,222,9,945
1.25,45,15,336,81,177,9,937
1.25,45,8,459,631,15,9,932
1.25,45,8,116,439,37,9,828
1.25,45,12,217,594,217,9,791
1.25,45,7,227,596,539,9,756
1.24,44,3,509,157,0,9,2684
1.24,8,9,517,171,440,9,1318
1.24,8,10,426,0,0,9,1263
1.23,45,10,378,125,229,9,1312
1.23,6,14,530,283,0,9,1072
1.23,45,2,324,307,217,9,1291
1.22,8,13,465,11,322,9,1367
1.22,24,14,140,318,540,9,1072
1.22,42,12,569,192,449,9,899
1.22,45,10,520,33,337,9,912
1.2,45,8,110,576,604,9,813
1.2,8,15,29,326,226,9,2836
1.2,45,2,147,69,497,9,2065
1.65,45,3,206,311,545,9,1976
1.2,21,12,265,0,0,9,1514
1.2,45,5,336,334,247,9,1491
1.2,45,12,231,516,419,9,1289
1.2,45,8,14,264,19,9,1275
1.2,8,7,489,628,249,9,1239
1.2,45,8,273,505,71,9,1238
1.0,8,1,460,346,237,9,1220
1.3,45,14,454,473,285,9,1206
1.2,45,1,263,330,12,9,1204
1.2,6,1,554,90,189,9,1196
1.2,45,14,204,33,284,9,1191
1.2,45,12,141,168,461,9,1169
1.2,8,0,268,637,470,9,1148
1.2,11,15,403,303,429,9,1141
1.2,45,10,375,258,174,9,1129
1.2,45,8,413,307,388,9,1121
1.2,45,12,427,19,100,9,1108
1.2,45,8,428,309,105,9,1185
1.2,31,6,310,531,423,9,1170
1.2,45,12,401,448,330,9,1080
1.2,45,5,280,498,408,9,1067
1.2,45,12,14,266,357,9,1052
1.2,19,6,461,280,516,9,1037
1.2,19,6,317,586,69,9,1009
1.2,45,8,143,120,395,9,982
1.4,19,10,461,289,169,9,982
1.2,45,15,220,576,234,9,987
1.2,28,6,484,25,60,9,980
1.2,45,12,347,366,547,9,946
1.2,45,1,25,84,472,9,946
1.2,45,8,402,49,297,9,927
1.2,19,6,297,275,267,9,919
1.2,19,15,383,314,75,9,918
1.2,45,12,203,576,178,9,905
1.2,17,6,78,230,277,9,856
1.2,45,0,311,114,543,9,861
1.2,45,8,14,91,190,9,821
1.2,28,8,560,535,330,9,762
1.2,44,10,111,0,0,9,759
1.15,45,5,343,356,577,9,980
1.19,37,3,106,0,0,9,3149
1.19,8,1,446,565,470,9,1968
1.18,8,7,460,462,539,9,2583
1.17,8,15,489,251,300,9,2040
1.17,45,10,311,26,197,9,1281
1.17,45,12,239,213,197,9,1157
1.16,8,2,426,632,179,9,2161
1.16,45,14,98,373,6,9,839
1.15,9,14,25,0,0,9,3321
1.15,45,4,405,218,542,9,1344
1.15,45,8,405,218,542,9,1156
1.15,45,1,552,306,279,9,1064
1.15,45,10,227,97,180,9,1044
1.15,45,8,203,50,96,9,919
1.12,8,8,129,243,294,9,1704
1.13,20,8,44,340,488,9,736
1.12,45,8,329,330,372,9,1115
1.12,45,10,47,442,570,9,898
1.1,45,1,542,19,274,9,793
1.1,45,13,173,463,26,9,3801
1.1,45,6,353,645,198,9,3235
1.1,8,6,525,485,382,9,3045
1.1,16,14,302,580,0,9,2922
1.1,17,16,491,279,517,9,1918
1.1,45,8,46,576,301,9,1913
1.1,45,5,396,247,65,9,1680
1.1,45,6,519,0,0,9,1372
1.1,17,15,17,339,0,9,1309
1.1,40,5,54,241,248,9,1284
1.1,44,8,331,78,531,9,1255
1.1,45,10,524,330,547,9,1234
1.1,45,8,586,268,110,9,1183
1.1,8,12,120,619,113,9,1170
1.1,45,12,418,19,259,9,1150
1.0,22,1,235,370,0,9,1038
1.1,45,8,108,21,364,9,815
1.1,28,15,357,218,64,9,814
1.1,45,12,220,356,262,9,1100
1.1,35,6,3,468,224,9,1065
1.1,19,12,461,479,328,9,1065
1.1,45,12,7,417,547,9,1037
1.1,17,12,251,531,73,9,1032
1.1,19,8,283,396,216,9,1022
1.1,45,6,333,356,332,9,1003
1.1,44,8,339,3,0,9,989
1.1,45,8,307,246,82,9,989
1.1,45,12,210,226,29,9,969
1.1,19,6,130,526,552,9,961
1.1,19,7,573,238,163,9,945
1.1,6,4,182,248,574,9,905
1.1,45,4,371,336,172,9,905
1.1,17,12,280,642,216,9,884
1.1,45,14,227,310,191,9,868
1.1,45,10,304,193,317,9,862
1.1,45,4,311,648,277,9,835
1.1,45,5,42,90,307,9,821
1.1,45,4,42,221,0,9,827
1.1,19,7,222,621,0,9,800
1.1,38,14,238,496,0,9,798
1.1,19,6,91,321,287,9,798
1.1,45,8,214,395,0,9,947
1.08,8,12,73,86,0,9,2158
1.08,8,15,464,478,468,9,1298
1.08,8,15,424,455,563,9,1298
1.07,45,3,9,513,454,9,794
1.07,45,14,237,347,422,9,2547
1.07,44,8,275,0,0,9,2453
1.07,19,15,448,617,553,9,1862
1.07,19,6,201,507,509,9,961
1.05,45,8,296,434,235,9,842
1.05,8,6,460,475,358,9,3304
1.05,45,5,371,266,37,9,1760
1.05,45,13,215,631,547,9,1227
1.05,45,9,211,598,1,9,1009
1.05,45,12,67,49,469,9,1004
1.05,45,8,39,264,483,9,898
1.04,37,10,330,408,0,9,1903
1.03,22,1,284,62,0,9,2368
1.02,45,9,463,96,367,9,1008
1.01,8,2,460,259,474,9,2095
1.01,45,10,473,590,98,9,939
1.0,45,8,42,0,0,9,731
1.0,45,2,351,207,390,9,792
1.0,16,15,50,450,70,9,793
1.0,21,8,431,0,0,9,816
1.0,45,4,16,266,335,9,3962
1.0,22,4,280,578,506,9,801
1.0,19,6,485,95,26,9,3739
1.0,45,6,343,438,445,9,3639
1.0,19,13,311,530,478,9,3544
1.0,45,14,471,245,0,9,3508
1.0,8,6,70,403,265,9,3493
1.0,8,6,5,376,300,9,3450
1.0,8,8,344,605,479,9,3404
1.0,8,13,268,414,142,9,3332
1.0,45,12,16,150,216,9,3291
1.0,8,6,460,637,299,9,3264
1.0,8,12,302,34,411,9,3230
1.0,8,6,447,71,264,9,3230
1.0,8,7,127,71,590,9,3213
1.0,8,7,425,562,485,9,3193
1.0,40,10,257,0,0,9,3122
1.0,8,1,516,602,0,9,3047
1.0,45,12,237,308,421,9,2991
1.0,45,3,75,417,0,9,2794
1.0,8,3,460,494,609,9,2688
1.0,8,6,4,565,0,9,2676
1.0,45,10,570,547,462,9,2654
1.0,8,6,299,376,264,9,2604
1.0,8,6,495,208,21,9,2570
1.0,36,13,87,399,0,9,2565
1.0,8,15,135,261,0,9,2520
1.0,32,14,298,10,0,9,2488
1.0,18,8,460,299,25,9,2472
1.0,8,13,361,295,142,9,2465
1.0,8,10,517,160,0,9,2319
1.0,15,13,232,0,0,9,2278
1.0,8,7,209,424,477,9,2275
1.0,8,9,545,232,239,9,2257
1.0,8,10,125,401,0,9,2233
1.0,45,12,469,456,171,9,2228
1.0,5,13,278,5,423,9,2226
1.0,45,3,393,199,0,9,2222
1.0,8,13,426,131,94,9,2220
1.0,8,15,419,376,288,9,2180
1.0,8,2,584,490,473,9,2163
1.0,45,8,219,0,0,9,2136
1.0,8,1,477,565,470,9,2129
1.0,8,6,536,219,447,9,2128
1.0,17,16,319,84,380,9,2123
1.0,8,9,122,295,615,9,2121
1.0,29,9,230,646,212,9,2109
1.0,5,15,364,323,377,9,2102
1.0,45,15,512,592,371,9,2075
1.0,45,1,483,0,0,9,2032
1.0,16,14,49,598,266,9,2002
1.0,8,1,61,579,253,9,1973
1.0,8,13,156,506,214,9,1935
1.0,45,12,531,207,394,9,1927
1.0,8,14,128,0,0,9,1918
1.0,8,7,504,345,26,9,1904
1.0,37,16,449,436,208,9,1893
1.0,16,1,26,250,33,9,1885
1.0,45,8,313,559,207,9,1836
1.0,45,8,541,546,362,9,1835
1.0,40,8,285,128,0,9,1820
1.0,5,8,191,192,0,9,1765
3.0,8,6,344,106,476,9,1758
1.0,45,10,290,263,500,9,1659
1.0,29,6,513,35,216,9,1612
1.0,43,14,387,325,156,9,1570
1.0,45,7,541,43,130,9,1555
1.0,45,10,329,168,10,9,1520
1.0,10,13,392,0,0,9,1477
1.0,45,6,385,588,107,9,1429
1.0,24,14,490,120,469,9,1424
1.07,37,2,66,43,501,9,1399
1.7,44,15,334,67,564,9,1381
1.0,45,14,567,120,604,9,1338
1.0,45,5,280,77,0,9,1316
1.0,45,12,268,224,609,9,1316
1.0,5,6,205,526,365,9,1316
1.0,44,8,572,199,117,9,1304
1.0,45,12,496,161,380,9,1296
1.0,41,15,451,337,613,9,1291
1.0,45,14,104,277,541,9,1276
1.0,45,9,457,102,547,9,1275
1.0,45,1,110,631,275,9,1275
1.0,8,8,93,284,363,9,1274
1.0,45,15,42,49,281,0,1267
1.0,45,7,397,560,530,9,1267
1.0,22,4,506,356,338,9,1254
1.0,35,12,460,512,431,9,1248
1.0,45,10,57,0,205,2,1242
1.0,45,8,241,576,354,9,1297
1.0,45,1,234,510,234,9,1240
1.0,8,7,344,506,257,9,1235
1.0,45,12,329,334,398,9,1234
1.0,8,8,582,181,269,9,1222
1.0,45,6,473,19,62,9,1221
1.0,45,8,39,153,391,9,1220
1.0,45,1,505,525,139,9,1219
1.0,8,10,76,506,375,9,1219
1.0,45,8,401,119,77,9,1213
1.0,45,1,541,307,503,9,1211
1.0,44,8,527,274,0,9,1224
1.0,45,10,524,180,204,9,1205
1.5,45,1,481,164,302,9,1204
1.0,45,12,14,147,37,9,1203
1.0,8,12,179,167,340,9,1171
1.1,45,14,577,469,456,9,1199
1.0,16,1,247,49,65,9,1197
1.0,6,1,181,205,366,9,1198
1.0,8,3,578,132,349,9,1197
1.73,45,8,287,19,161,9,1191
1.0,45,5,253,76,471,9,1190
1.0,45,8,286,273,593,9,1186
1.0,45,8,459,221,76,9,1185
1.0,45,14,100,0,0,9,1179
1.05,35,8,172,462,143,9,1171
1.0,45,15,554,595,69,9,1170
1.0,45,10,382,380,295,9,1170
1.0,21,10,395,462,550,9,1165
1.0,8,9,165,137,470,9,1162
1.0,35,6,476,39,224,9,1158
1.0,44,1,280,301,221,9,1156
1.0,8,12,220,280,264,9,1157
1.0,22,15,455,647,407,9,1156
1.0,45,4,78,392,532,9,1155
1.0,22,7,229,32,277,9,1151
1.0,45,12,69,406,151,9,1149
1.0,45,8,161,148,37,9,1143
1.0,45,8,293,557,409,9,1148
1.0,45,12,23,549,336,9,1164
1.0,6,12,210,547,17,9,1143
1.0,45,15,262,227,0,9,1143
1.0,35,8,367,174,16,9,1141
1.06,45,8,227,229,14,9,1135
1.0,45,1,336,576,342,9,1129
1.0,45,12,213,502,497,9,1129
1.0,8,8,370,414,359,9,1130
1.0,8,10,426,612,470,9,1130
1.0,45,8,66,0,0,9,1128
1.0,1,12,579,364,455,9,1123
1.0,45,15,311,409,573,9,1120
1.0,19,15,14,500,283,9,1120
1.0,35,8,556,250,583,9,1129
1.0,45,8,576,523,562,9,1107
1.0,45,1,203,248,388,9,1106
1.0,6,8,18,421,221,9,1101
1.0,45,1,246,258,73,9,1102
1.0,31,6,246,258,73,9,1095
1.0,45,10,198,420,469,9,1094
1.0,37,8,427,624,241,9,1120
1.0,45,1,42,282,414,9,1087
1.0,45,13,459,160,277,9,1085
1.0,8,9,238,491,26,9,1081
1.0,18,6,42,165,264,9,1078
1.0,17,6,46,75,0,9,1079
1.0,17,9,256,506,331,9,1071
1.2,45,6,220,93,11,9,1066
1.0,45,10,369,446,352,9,1071
1.0,45,8,18,324,189,9,1071
1.0,20,8,14,631,35,9,1066
1.0,44,8,45,152,387,9,1059
1.0,45,12,25,433,424,9,1059
1.0,45,12,438,364,31,9,1058
1.0,8,15,585,526,616,9,1065
1.0,8,3,517,280,0,9,1056
1.0,35,15,57,391,154,9,1053
1.0,19,7,14,576,392,9,1051
1.0,45,10,459,573,502,9,1050
1.0,20,8,487,39,280,9,1046
1.0,19,6,2,89,579,9,1045
1.0,45,8,320,240,556,9,1045
1.0,45,5,246,363,216,9,1043
1.0,45,12,532,42,439,9,1043
1.0,45,6,493,600,566,9,1282
1.0,16,8,273,297,144,9,1039
1.0,19,8,461,570,209,9,1037
1.0,45,1,136,307,554,9,1037
1.0,44,8,264,60,387,9,1031
1.0,16,10,562,385,511,9,1029
1.0,5,15,549,353,500,9,1029
1.0,45,15,279,32,534,9,1024
1.0,45,1,323,396,159,9,1024
1.0,8,12,220,237,201,9,1017
1.0,8,12,460,357,245,9,1017
1.0,45,12,191,0,0,9,1016
1.0,45,4,142,342,207,9,1011
1.0,17,3,234,8,438,9,1011
1.0,37,12,314,57,313,9,1011
1.0,45,12,280,40,385,9,1010
1.0,45,4,19,246,338,9,1010
1.0,45,8,187,595,37,9,1009
1.1,8,9,89,260,353,9,1009
1.0,19,14,14,203,388,9,1003
1.0,45,6,307,246,580,9,1003
1.0,45,12,238,6,0,9,1002
1.0,45,4,273,87,545,9,1001
1.0,45,0,240,126,376,9,1001
1.0,45,4,400,264,464,9,1001
1.0,19,12,226,190,53,9,996
1.0,45,12,307,246,379,9,989
1.0,28,8,156,246,365,9,983
1.0,45,12,430,278,540,9,983
1.0,45,0,42,312,195,9,982
1.0,45,5,25,77,486,9,988
1.0,45,4,302,201,536,9,988
1.0,1,6,421,73,522,9,983
1.0,45,3,157,4,88,9,1123
1.0,16,8,372,627,539,9,981
1.0,17,6,118,204,9,9,980
1.0,45,12,42,584,270,9,976
1.0,45,10,524,246,120,9,975
1.0,45,4,280,356,138,9,974
1.0,45,3,31,236,330,9,968
1.0,39,16,566,568,60,9,968
1.0,8,0,427,410,249,9,967
1.0,20,3,261,507,28,9,962
1.0,17,14,52,273,555,9,973
1.0,35,12,514,269,427,9,981
1.0,19,5,507,51,521,9,953
1.0,6,15,561,617,186,9,952
1.0,45,1,199,319,41,9,946
1.0,22,4,13,96,277,9,947
1.0,19,12,328,507,168,9,933
1.0,45,5,227,407,148,9,932
1.0,45,12,14,2,210,9,932
1.0,45,8,376,635,497,9,931
1.0,7,1,423,165,167,9,926
1.0,31,5,366,146,150,9,925
1.0,40,15,52,397,229,9,918
1.0,44,8,178,191,426,9,913
1.0,45,12,311,505,0,9,919
1.0,6,12,322,413,417,9,912
1.0,45,4,72,576,240,9,905
1.0,19,12,379,608,459,9,905
1.0,45,12,371,87,560,9,905
1.0,23,8,195,576,61,9,904
1.0,45,10,535,641,37,9,904
1.0,45,4,7,350,160,9,904
1.0,45,12,586,102,183,9,903
1.0,45,8,143,200,502,9,903
1.0,45,8,414,435,446,9,892
1.0,45,12,42,148,547,9,884
1.0,19,12,347,19,388,9,883
1.0,45,8,575,307,548,9,878
1.0,45,0,531,366,475,9,878
1.0,45,12,242,364,37,9,876
1.0,45,13,417,330,260,9,876
1.0,45,8,316,583,586,9,883
1.0,45,4,416,90,243,9,870
1.0,45,12,42,202,547,9,869
1.0,45,10,291,302,373,9,862
1.0,17,6,550,142,128,9,861
1.0,45,12,371,589,484,9,856
1.0,45,8,185,522,406,9,848
1.0,45,10,591,447,91,9,847
1.0,39,15,144,182,575,9,847
1.0,45,14,72,23,120,9,847
1.0,45,2,252,287,32,9,843
1.0,17,8,548,303,134,9,840
1.0,19,8,2,576,534,9,836
1.0,39,14,11,0,0,9,835
1.0,24,8,475,320,224,9,829
1.0,31,12,491,0,0,9,828
1.0,9,8,259,310,547,9,827
1.0,45,12,227,334,330,9,820
1.0,45,10,68,538,116,9,799
1.0,45,5,153,170,536,9,799
1.0,45,4,68,538,116,9,805
1.0,22,9,72,90,368,9,801
1.0,19,12,223,540,592,9,786
1.0,45,15,262,77,258,9,786
1.0,45,15,181,159,274,9,772
1.0,45,5,240,19,146,9,765
1.0,45,12,95,177,211,9,750
